STUFF LIST - 1  
24AA025E48T-I/SN-24AA025E48T-IB 24AA025E48T-I/SN         U18             

----------------

7X2RECPT_SMD_2MM-878321420,7X2B 878321420                J10             

----------------

ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC3             
ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC4             

----------------

ATMGA128_TQFP-ATMEGA128A-AU,ATB ATMEGA128A-AU            U4              

----------------

R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R36             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R73             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R75             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R77             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R91             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R97             
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R147            
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R154            
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R191            
R-EMA-00007500V42,R-EMA-000075A EMA-00007500V42          R192            

----------------

R-ERA-2AEB303X,R-ERA-2AEB303X,A ERA-2AEB303X             R110            

----------------

R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R1              
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R2              
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R4              
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R7              
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R8              
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R9              
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R10             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R12             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R14             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R15             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R18             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R25             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R27             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R30             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R32             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R34             
R-ERJ-2RKF1000X,R-ERJ-2RKF1000A ERJ-2RKF1000X            R134            

----------------

R-ERJ-2RKF1001X,R-ERJ-2RKF1001A ERJ-2RKF1001X            R68             
R-ERJ-2RKF1001X,R-ERJ-2RKF1001A ERJ-2RKF1001X            R107            
R-ERJ-2RKF1001X,R-ERJ-2RKF1001A ERJ-2RKF1001X            R108            
R-ERJ-2RKF1001X,R-ERJ-2RKF1001A ERJ-2RKF1001X            R109            
R-ERJ-2RKF1001X,R-ERJ-2RKF1001A ERJ-2RKF1001X            R113            

----------------

